code_UAI,nom_etablissement,code_departement,nom_formation,code_formation_parcoursup,type_contrat,formation_selective,concour,nombre_candidats,taux_admission,taux_femmes,taux_boursiers,taux_meme_academie,taux_meme_etablissement,taux_bac_technologique,taux_bac_pro,taux_mention_assez_bien,taux_mention_bien,taux_mention_tres_bien,taux_mention_tres_bien_felicitations
0762049P,Université de Rouen Normandie - Campus Pasteur Rouen,76,Licence - Portail Majeure AES - Mineure Gestion,9696,Public,False,False,1715,0.91,0.5,0.323984375,0.906875,0.0,0.2819921875,0.04599609375,0.318984375,0.0969921875,0.019,0.005
0754030Y,Lycée Albert de Mun,75,BTS - Services - Management en hôtellerie restauration,9499,Privé sous contrat d'association,True,False,306,1.0,0.3859375,0.16,0.64,0.56,0.4,0.6,0.4,0.2,0.08,0.0
0620215X,Université du littoral - Site de Calais -,62,Licence - Portail Sciences de la vie,27867,Public,False,False,942,0.71,0.585,0.253984375,0.86390625,0.0,0.01699951171875,0.0,0.39,0.1859765625,0.119,0.0
0350077U,CPI Rennes (ENS Chimie Rennes),35,Formation d'ingénieur Bac + 5 - Bac Général,4658,Public,True,True,1484,0.3,0.726875,0.09599609375,0.41,0.0,0.0,0.0,0.0,0.168984375,0.723,0.108
0180571Y,Lycée St Jean Baptiste De La Salle,18,BTS - Production - Electrotechnique,3118,Privé sous contrat d'association,True,False,56,0.75,0.1669921875,0.5709375,1.0,1.0,0.0,1.0,0.2859765625,0.14298828125,0.286,0.0
9741060J,Lycée professionnel Agricole Cluny Ste-Suzanne,974,"BTS - Agricole - Développement, animation des territoires ruraux",15863,Privé sous contrat d'association,True,False,72,0.79,0.33296875,0.25,0.75,0.25,0.0,1.0,0.5,0.0,0.0,0.0
0753541S,Institut Catholique Paris,75,"Licence - Langues, littératures & civilisations étrangères et régionales - Parcours Anglais",9453,Privé enseignement supérieur,False,False,720,1.0,0.6759375,0.115,0.3459375,0.0,0.063994140625,0.037998046875,0.4359375,0.14099609375,0.013,0.0
0330069W,Lycée des métiers des soins et des services à la personne La Morlette,33,BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie,13347,Public,True,False,706,0.36,1.0,0.3609375,0.5559375,0.193984375,0.3059765625,0.6109375,0.33296875,0.471953125,0.0279999999999999,0.0
0791062A,Lycée de la Venise Verte,79,BTS - Services - Analyses de biologie médicale,10132,Public,True,False,723,0.22,0.75,0.25,0.75,0.08298828125,0.75,0.1669921875,0.75,0.08298828125,0.083,0.0
0260113G,Lycée Les Catalins,26,BTS - Production - Maintenance des systèmes - option A Systèmes de production,3637,Public,True,False,175,0.71,0.0,0.443984375,0.83296875,0.5559375,0.2219921875,0.77796875,0.27796875,0.0,0.0559999999999999,0.0
0740037N,Lycée Mme De Staël,74,BTS - Services - Comptabilité et gestion,8874,Public,True,False,307,0.4,0.375,0.33296875,0.73296875,0.2669921875,0.73296875,0.13298828125,0.4,0.2669921875,0.0,0.0
0292125C,ISEN Brest,29,Formation d'ingénieur Bac + 5 - Bacs généraux,505,Privé sous contrat d'association,True,True,1105,0.9,0.5709375,0.0,0.14298828125,0.0,0.0,0.0,0.2859765625,0.0,0.429,0.0
0751719L,Université Sorbonne Nouvelle Paris 3,75,Licence - Lettres - Parcours Lettres - Mineure Information-Communication,9240,Public,False,False,534,0.52,0.78,0.293984375,0.293984375,0.0,0.08798828125,0.0289990234375,0.58796875,0.235,0.0289999999999999,0.0
0921204J,Université Paris Nanterre,92,Licence - Langues étrangères appliquées - Parcours Espagnol - Anglais,11104,Public,False,False,1803,0.47,0.7559375,0.3119921875,0.68796875,0.0,0.1959765625,0.0719921875,0.63,0.20296875,0.0,0.0069999999999999
9720692V,Lycée Du Nord Atlantique,972,BTS - Services - Négociation et digitalisation de la Relation Client,20242,Public,True,False,274,0.29,0.615,0.76890625,1.0,0.153984375,0.30796875,0.461953125,0.461953125,0.0,0.0,0.0
0330029C,Lycée Nicolas Bremontier,33,BTS - Services - Commerce International,4306,Public,True,False,2499,0.17,0.646875,0.366953125,0.88296875,0.032998046875,0.416953125,0.4,0.6,0.28296875,0.067,0.0
0470001W,Lycée Bernard Palissy,47,BTS - Production - Bioqualité,23412,Public,True,False,207,0.58,0.691875,0.25,0.58296875,0.0,0.416953125,0.25,0.33296875,0.08298828125,0.0,0.0
0301778V,Lycée Jacques Prévert,30,BTS - Services - Management Commercial Opérationnel,4025,Public,True,False,453,0.34,0.24,0.541953125,1.0,0.45796875,0.416953125,0.416953125,0.375,0.25,0.0,0.0
0597065J,Université de Lille,59,"Licence - Langues, littératures & civilisations étrangères et régionales - Parcours  Italien",7077,Public,False,False,125,0.99,0.77796875,0.1819921875,0.90890625,0.0,0.09099609375,0.1819921875,0.27296875,0.27296875,0.0,0.0
0062205P,Université Côte d'Azur,06,Licence - Parcours d'Accès Spécifique Santé (PASS),27474,Public,False,False,1785,0.28,0.7909375,0.125,0.975,0.0,0.0,0.0,0.05,0.6,0.325,0.025
0560182U,Lycée Jeanne d'Arc-St Ivy,56,BTS - Services - Négociation et digitalisation de la Relation Client,6455,Privé sous contrat d'association,True,False,415,0.39,0.455,0.15,1.0,0.45,0.25,0.55,0.7,0.0,0.0,0.0
0754029X,Lycée Carcado Saisseval,75,BTS - Services - Management Commercial Opérationnel,9492,Privé sous contrat d'association,True,False,1253,0.31,0.46,0.103984375,0.5209375,0.375,0.3959375,0.353984375,0.31296875,0.20796875,0.021,0.0
0290128G,Unité de Formation et de Recherche en Médecine Université de Bretagne Occidentale,29,Certificat de capacité d'Orthophoniste,28047,Public,True,True,2432,0.11,0.966875,0.18796875,0.43796875,0.0,0.0,0.0,0.25,0.56296875,0.188,0.0
0640251A,Université de Pau et des Pays de l'Adour,64,Licence - Informatique - Parcours Mathématiques et Informatique,24780,Public,False,False,222,0.97,0.2,0.25,1.0,0.0,0.0,0.125,0.125,0.0,0.25,0.0
0331766R,Université Bordeaux Montaigne,33,Licence - Langues étrangères appliquées - Parcours Licence 1 LEA - Langues étrangères appliquées : Anglais-Russe,4414,Public,False,False,442,1.0,0.601953125,0.3959375,0.69796875,0.0,0.11298828125,0.075,0.376953125,0.15099609375,0.057,0.0
0351576Y,Unité de Formation et de Recherche des Sciences Médicales Université de Rennes 1,35,Certificat de capacité d'Orthoptiste,28084,Public,True,True,594,0.22,0.83296875,0.0,0.75,0.0,0.0,0.0,0.25,0.5,0.25,0.0
0450042B,Lycée des Métiers Durzy,45,BTS - Production - Conception de produits industriels,5646,Public,True,False,104,0.66,0.2,0.25,0.375,0.125,0.625,0.125,0.375,0.125,0.0,0.0
0750655E,Lycée Louis Le Grand,75,CPGE - Lettres,8977,Public,True,False,2572,0.2,0.75,0.06099609375,0.235,0.0819921875,0.0,0.0,0.0,0.01,0.449,0.541
