code_UAI,nom_etablissement,code_departement,nom_formation,code_formation_parcoursup,type_contrat,formation_selective,concour,nombre_candidats,taux_admission,taux_femmes,taux_boursiers,taux_meme_academie,taux_meme_etablissement,taux_bac_technologique,taux_bac_pro,taux_mention_assez_bien,taux_mention_bien,taux_mention_tres_bien,taux_mention_tres_bien_felicitations
0542493S,Université de Lorraine - Site de Nancy,54,Licence - Histoire de l'art et archéologie,13925,Public,False,False,762,0.99,0.7,0.2769921875,0.675,0.0,0.145,0.06,0.3609375,0.205,0.012,0.0
0831014B,Lycée professionnel Golf-Hôtel,83,BTS - Production - Travaux publics,13961,Public,True,False,201,0.39,0.0,0.363984375,0.81796875,0.6359375,0.27296875,0.6359375,0.363984375,0.27296875,0.0,0.0
9710418C,Lycée professionnel Paul Lacave,971,BTS - Production - Maintenance des véhicules option véhicules de transport routier,13967,Public,True,False,50,0.36,0.0,0.58296875,0.83296875,0.5,0.0,1.0,0.25,0.416953125,0.0,0.0
0490970N,Université Angers,49,"Licence - Portail Langues, littératures & civilisations étrangères et régionales - Espagnol",13997,Public,False,False,358,1.0,0.79390625,0.303984375,0.7609375,0.0,0.1519921875,0.0219970703125,0.5,0.28296875,0.022,0.0
0310155A,Institut Catholique de Toulouse,31,Licence - Droit - Parcours Culture juridique,14001,Privé enseignement supérieur,False,False,770,0.84,0.71796875,0.07,0.7459375,0.0,0.07,0.0,0.543984375,0.3069921875,0.026,0.0
0442752C,Lycée polyvalent Aimé Césaire,44,BTS - Production - Management économique de la construction,14033,Public,True,False,260,0.76,0.125,0.0,0.666875,0.14298828125,0.33296875,0.5709375,0.33296875,0.095,0.095,0.0
9741628B,UCO - LA REUNION,974,Licence - Psychologie,14052,Privé sous contrat d'association,False,False,894,0.45,0.85890625,0.351953125,0.886875,0.0,0.0419921875,0.0139990234375,0.40796875,0.478984375,0.042,0.0139999999999999
0751722P,Sorbonne Université - Sciences et Ingénierie,75,C.M.I - Cursus Master en Ingénierie - Mécanique - Cursus Master en Ingénierie (CMI) : Mécanique,14108,Public,True,False,963,0.18,0.1709765625,0.218984375,0.25,0.0,0.0,0.0,0.25,0.5309375,0.2189999999999999,0.0
0673021V,Université de Strasbourg,67,"Licence - Langues, littératures & civilisations étrangères et régionales - Parcours Études nord-européennes : scandinave",14130,Public,False,False,106,0.94,0.578984375,0.11099609375,0.443984375,0.0,0.11099609375,0.2219921875,0.2219921875,0.2219921875,0.0,0.0
0350005R,Lycée des Métiers - Hotelier et Restauration - Yvon Bourges,35,Mention complémentaire - Accueil réception,14265,Public,True,False,93,0.77,0.666875,0.1669921875,0.83296875,0.0,0.33296875,0.5,0.33296875,0.0,0.0,0.0
0070071P,Lycée polyvalent du Sacré-Coeur,07,BTS - Services - Gestion de la PME,14269,Privé sous contrat d'association,True,False,163,0.75,0.916875,0.125,1.0,0.0,0.375,0.625,0.25,0.25,0.0,0.0
0623981R,Lycée Vauban,62,Mention complémentaire - Accueil réception,14283,Public,True,False,76,0.63,0.7059375,0.4,0.8,0.0,0.2,0.8,0.2,0.0,0.0,0.0
0730858L,Université Savoie Mont Blanc - Chambéry,73,Licence - Information et communication,14300,Public,False,False,1228,0.54,0.7009375,0.14,0.9,0.0,0.08,0.03,0.53,0.18,0.05,0.0
0440069L,LGT Aristide Briand,44,BTS - Services - Service et prestation des secteurs sanitaire et social,14438,Public,True,False,613,0.48,0.955,0.15798828125,0.736875,0.15798828125,0.26296875,0.4209375,0.36796875,0.105,0.0,0.0
0860037Y,Lycée Nelson Mandela,86,CPGE - PTSI,14480,Public,True,False,430,0.67,0.042998046875,0.0,0.7059375,0.11798828125,0.0,0.0,0.58796875,0.293984375,0.0,0.0
0300023M,Lycée ALBERT CAMUS,30,BTS - Production - Biotechnologies,14494,Public,True,False,721,0.3,0.64296875,0.2169921875,0.47796875,0.173984375,0.91296875,0.042998046875,0.435,0.2609765625,0.0,0.0
0941111X,Université Paris- Est-Créteil Val de Marne - UPEC (Paris 12),94,Licence - Double diplôme - Licence Economie et gestion - Double diplôme Licence Informatique et management et Diplôme universitaire Innovation et cybersécurité,14513,Public,True,False,1522,0.11,0.58296875,0.2059765625,0.61796875,0.0,0.0,0.0,0.35296875,0.5,0.0289999999999999,0.0
